date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2024-08-11,Tokyo,0.33,2024,8,3,224,32,Asia
2024-08-18,Bangkok,0.42,2024,8,3,231,33,Asia
2024-08-18,Istanbul,0.33,2024,8,3,231,33,Asia
2024-08-18,Tokyo,0.35,2024,8,3,231,33,Asia
2024-08-25,Bangkok,0.36,2024,8,3,238,34,Asia
2024-08-25,Istanbul,0.34,2024,8,3,238,34,Asia
2024-08-25,Tokyo,0.3,2024,8,3,238,34,Asia
2024-09-01,Bangkok,0.38,2024,9,3,245,35,Asia
2024-09-01,Istanbul,0.36,2024,9,3,245,35,Asia
2024-09-01,Tokyo,0.35,2024,9,3,245,35,Asia
2024-09-08,Bangkok,0.39,2024,9,3,252,36,Asia
2024-09-08,Istanbul,0.31,2024,9,3,252,36,Asia
2024-09-08,Tokyo,0.34,2024,9,3,252,36,Asia
2024-09-15,Bangkok,0.4,2024,9,3,259,37,Asia
2024-09-15,Istanbul,0.31,2024,9,3,259,37,Asia
2024-09-15,Tokyo,0.32,2024,9,3,259,37,Asia
2024-09-22,Bangkok,0.36,2024,9,3,266,38,Asia
2024-09-22,Istanbul,0.29,2024,9,3,266,38,Asia
2024-09-22,Tokyo,0.33,2024,9,3,266,38,Asia
2024-09-29,Bangkok,0.37,2024,9,3,273,39,Asia
2024-09-29,Istanbul,0.31,2024,9,3,273,39,Asia
2024-09-29,Tokyo,0.35,2024,9,3,273,39,Asia
2024-10-06,Bangkok,0.39,2024,10,4,280,40,Asia
2024-10-06,Istanbul,0.28,2024,10,4,280,40,Asia
2024-10-06,Tokyo,0.36,2024,10,4,280,40,Asia
2024-10-13,Bangkok,0.43,2024,10,4,287,41,Asia
2024-10-13,Istanbul,0.27,2024,10,4,287,41,Asia
2024-10-13,Tokyo,0.35,2024,10,4,287,41,Asia
2024-10-20,Bangkok,0.42,2024,10,4,294,42,Asia
2024-10-20,Istanbul,0.25,2024,10,4,294,42,Asia
2024-10-20,Tokyo,0.35,2024,10,4,294,42,Asia
2024-10-27,Bangkok,0.42,2024,10,4,301,43,Asia
2024-10-27,Istanbul,0.26,2024,10,4,301,43,Asia
2024-10-27,Tokyo,0.35,2024,10,4,301,43,Asia
2024-11-03,Bangkok,0.45,2024,11,4,308,44,Asia
2024-11-03,Istanbul,0.27,2024,11,4,308,44,Asia
2024-11-03,Tokyo,0.34,2024,11,4,308,44,Asia
2024-11-10,Bangkok,0.45,2024,11,4,315,45,Asia
2024-11-10,Istanbul,0.24,2024,11,4,315,45,Asia
2024-11-10,Tokyo,0.35,2024,11,4,315,45,Asia
2024-11-17,Bangkok,0.48,2024,11,4,322,46,Asia
2024-11-17,Istanbul,0.28,2024,11,4,322,46,Asia
2024-11-17,Tokyo,0.34,2024,11,4,322,46,Asia
2024-11-24,Bangkok,0.46,2024,11,4,329,47,Asia
2024-11-24,Istanbul,0.24,2024,11,4,329,47,Asia
2024-11-24,Tokyo,0.33,2024,11,4,329,47,Asia
2024-12-01,Bangkok,0.43,2024,12,4,336,48,Asia
2024-12-01,Istanbul,0.27,2024,12,4,336,48,Asia
2024-12-01,Tokyo,0.33,2024,12,4,336,48,Asia
2024-12-08,Bangkok,0.39,2024,12,4,343,49,Asia
2024-12-08,Istanbul,0.29,2024,12,4,343,49,Asia
2024-12-08,Tokyo,0.35,2024,12,4,343,49,Asia
2024-12-15,Bangkok,0.48,2024,12,4,350,50,Asia
2024-12-15,Istanbul,0.27,2024,12,4,350,50,Asia
2024-12-15,Tokyo,0.32,2024,12,4,350,50,Asia
2024-12-22,Bangkok,0.51,2024,12,4,357,51,Asia
2024-12-22,Istanbul,0.3,2024,12,4,357,51,Asia
2024-12-22,Tokyo,0.37,2024,12,4,357,51,Asia
2024-12-29,Bangkok,0.56,2024,12,4,364,52,Asia
2024-12-29,Istanbul,0.34,2024,12,4,364,52,Asia
2024-12-29,Tokyo,0.51,2024,12,4,364,52,Asia
2025-01-05,Bangkok,0.57,2025,1,1,5,1,Asia
2025-01-05,Istanbul,0.32,2025,1,1,5,1,Asia
2025-01-05,Tokyo,0.46,2025,1,1,5,1,Asia
2025-01-12,Bangkok,0.5,2025,1,1,12,2,Asia
2025-01-12,Istanbul,0.35,2025,1,1,12,2,Asia
2025-01-12,Tokyo,0.47,2025,1,1,12,2,Asia
2025-01-19,Bangkok,0.48,2025,1,1,19,3,Asia
2025-01-19,Istanbul,0.32,2025,1,1,19,3,Asia
2025-01-19,Tokyo,0.43,2025,1,1,19,3,Asia
2025-01-26,Bangkok,0.43,2025,1,1,26,4,Asia
2025-01-26,Istanbul,0.27,2025,1,1,26,4,Asia
2025-01-26,Tokyo,0.43,2025,1,1,26,4,Asia
2025-02-02,Bangkok,0.42,2025,2,1,33,5,Asia
2025-02-02,Istanbul,0.27,2025,2,1,33,5,Asia
2025-02-02,Tokyo,0.36,2025,2,1,33,5,Asia
2025-02-09,Bangkok,0.44,2025,2,1,40,6,Asia
2025-02-09,Istanbul,0.26,2025,2,1,40,6,Asia
2025-02-09,Tokyo,0.35,2025,2,1,40,6,Asia
2025-02-16,Bangkok,0.45,2025,2,1,47,7,Asia
2025-02-16,Istanbul,0.31,2025,2,1,47,7,Asia
2025-02-16,Tokyo,0.41,2025,2,1,47,7,Asia
2025-02-23,Bangkok,0.45,2025,2,1,54,8,Asia
2025-02-23,Istanbul,0.27,2025,2,1,54,8,Asia
2025-02-23,Tokyo,0.36,2025,2,1,54,8,Asia
2025-03-02,Bangkok,0.46,2025,3,1,61,9,Asia
2025-03-02,Istanbul,0.3,2025,3,1,61,9,Asia
2025-03-02,Tokyo,0.39,2025,3,1,61,9,Asia
2025-03-09,Bangkok,0.41,2025,3,1,68,10,Asia
2025-03-09,Istanbul,0.29,2025,3,1,68,10,Asia
2025-03-09,Tokyo,0.41,2025,3,1,68,10,Asia
2025-03-16,Bangkok,0.44,2025,3,1,75,11,Asia
2025-03-16,Istanbul,0.33,2025,3,1,75,11,Asia
2025-03-16,Tokyo,0.36,2025,3,1,75,11,Asia
2025-03-23,Bangkok,0.47,2025,3,1,82,12,Asia
2025-03-23,Istanbul,0.28,2025,3,1,82,12,Asia
2025-03-23,Tokyo,0.41,2025,3,1,82,12,Asia
2025-03-30,Bangkok,0.38,2025,3,1,89,13,Asia
2025-03-30,Istanbul,0.28,2025,3,1,89,13,Asia
2025-03-30,Tokyo,0.43,2025,3,1,89,13,Asia
2025-04-06,Bangkok,0.42,2025,4,2,96,14,Asia
2025-04-06,Istanbul,0.3,2025,4,2,96,14,Asia
2025-04-06,Tokyo,0.38,2025,4,2,96,14,Asia
2025-04-13,Bangkok,0.37,2025,4,2,103,15,Asia
2025-04-13,Istanbul,0.27,2025,4,2,103,15,Asia
2025-04-13,Tokyo,0.4,2025,4,2,103,15,Asia
2025-04-20,Bangkok,0.41,2025,4,2,110,16,Asia
2025-04-20,Istanbul,0.35,2025,4,2,110,16,Asia
2025-04-20,Tokyo,0.38,2025,4,2,110,16,Asia
2025-04-27,Bangkok,0.44,2025,4,2,117,17,Asia
2025-04-27,Istanbul,0.27,2025,4,2,117,17,Asia
2025-04-27,Tokyo,0.38,2025,4,2,117,17,Asia
2025-05-04,Bangkok,0.4,2025,5,2,124,18,Asia
2025-05-04,Istanbul,0.28,2025,5,2,124,18,Asia
2025-05-04,Tokyo,0.38,2025,5,2,124,18,Asia
2025-05-11,Bangkok,0.39,2025,5,2,131,19,Asia
2025-05-11,Istanbul,0.25,2025,5,2,131,19,Asia
2025-05-11,Tokyo,0.36,2025,5,2,131,19,Asia
2025-05-18,Bangkok,0.38,2025,5,2,138,20,Asia
2025-05-18,Istanbul,0.22,2025,5,2,138,20,Asia
2025-05-18,Tokyo,0.36,2025,5,2,138,20,Asia
2025-05-25,Bangkok,0.38,2025,5,2,145,21,Asia
2025-05-25,Istanbul,0.24,2025,5,2,145,21,Asia
2025-05-25,Tokyo,0.33,2025,5,2,145,21,Asia
2025-06-01,Bangkok,0.41,2025,6,2,152,22,Asia
2025-06-01,Istanbul,0.26,2025,6,2,152,22,Asia
2025-06-01,Tokyo,0.36,2025,6,2,152,22,Asia
2025-06-08,Bangkok,0.36,2025,6,2,159,23,Asia
2025-06-08,Istanbul,0.23,2025,6,2,159,23,Asia
2025-06-08,Tokyo,0.34,2025,6,2,159,23,Asia
