date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2024-12-29,New York,0.36,2024,12,4,364,52,North America
2025-01-05,Los Angeles,0.41,2025,1,1,5,1,North America
2025-01-05,New York,0.36,2025,1,1,5,1,North America
2025-01-12,Los Angeles,0.37,2025,1,1,12,2,North America
2025-01-12,New York,0.34,2025,1,1,12,2,North America
2025-01-19,Los Angeles,0.43,2025,1,1,19,3,North America
2025-01-19,New York,0.29,2025,1,1,19,3,North America
2025-01-26,Los Angeles,0.27,2025,1,1,26,4,North America
2025-01-26,New York,0.26,2025,1,1,26,4,North America
2025-02-02,Los Angeles,0.24,2025,2,1,33,5,North America
2025-02-02,New York,0.24,2025,2,1,33,5,North America
2025-02-09,Los Angeles,0.22,2025,2,1,40,6,North America
2025-02-09,New York,0.26,2025,2,1,40,6,North America
2025-02-16,Los Angeles,0.25,2025,2,1,47,7,North America
2025-02-16,New York,0.25,2025,2,1,47,7,North America
2025-02-23,Los Angeles,0.27,2025,2,1,54,8,North America
2025-02-23,New York,0.27,2025,2,1,54,8,North America
2025-03-02,Los Angeles,0.27,2025,3,1,61,9,North America
2025-03-02,New York,0.27,2025,3,1,61,9,North America
2025-03-09,Los Angeles,0.3,2025,3,1,68,10,North America
2025-03-09,New York,0.27,2025,3,1,68,10,North America
2025-03-16,Los Angeles,0.3,2025,3,1,75,11,North America
2025-03-16,New York,0.26,2025,3,1,75,11,North America
2025-03-23,Los Angeles,0.27,2025,3,1,82,12,North America
2025-03-23,New York,0.27,2025,3,1,82,12,North America
2025-03-30,Los Angeles,0.27,2025,3,1,89,13,North America
2025-03-30,New York,0.25,2025,3,1,89,13,North America
2025-04-06,Los Angeles,0.26,2025,4,2,96,14,North America
2025-04-06,New York,0.26,2025,4,2,96,14,North America
2025-04-13,Los Angeles,0.26,2025,4,2,103,15,North America
2025-04-13,New York,0.27,2025,4,2,103,15,North America
2025-04-20,Los Angeles,0.27,2025,4,2,110,16,North America
2025-04-20,New York,0.27,2025,4,2,110,16,North America
2025-04-27,Los Angeles,0.23,2025,4,2,117,17,North America
2025-04-27,New York,0.28,2025,4,2,117,17,North America
2025-05-04,Los Angeles,0.26,2025,5,2,124,18,North America
2025-05-04,New York,0.26,2025,5,2,124,18,North America
2025-05-11,Los Angeles,0.24,2025,5,2,131,19,North America
2025-05-11,New York,0.3,2025,5,2,131,19,North America
2025-05-18,Los Angeles,0.27,2025,5,2,138,20,North America
2025-05-18,New York,0.3,2025,5,2,138,20,North America
2025-05-25,Los Angeles,0.25,2025,5,2,145,21,North America
2025-05-25,New York,0.27,2025,5,2,145,21,North America
2025-06-01,Los Angeles,0.3,2025,6,2,152,22,North America
2025-06-01,New York,0.28,2025,6,2,152,22,North America
2025-06-08,Los Angeles,0.36,2025,6,2,159,23,North America
2025-06-08,New York,0.27,2025,6,2,159,23,North America
2025-06-15,Los Angeles,0.33,2025,6,2,166,24,North America
2025-06-15,New York,0.29,2025,6,2,166,24,North America
2025-06-22,Los Angeles,0.38,2025,6,2,173,25,North America
2025-06-22,New York,0.35,2025,6,2,173,25,North America
2025-06-29,Los Angeles,0.27,2025,6,2,180,26,North America
2025-06-29,New York,0.31,2025,6,2,180,26,North America
2025-07-06,Los Angeles,0.67,2025,7,3,187,27,North America
2025-07-06,New York,0.62,2025,7,3,187,27,North America
2025-07-13,Los Angeles,0.44,2025,7,3,194,28,North America
2025-07-13,New York,0.5,2025,7,3,194,28,North America
2025-07-20,Los Angeles,0.53,2025,7,3,201,29,North America
2025-07-20,New York,0.58,2025,7,3,201,29,North America
2025-07-27,Los Angeles,0.49,2025,7,3,208,30,North America
2025-07-27,New York,0.53,2025,7,3,208,30,North America
2025-08-03,Los Angeles,0.76,2025,8,3,215,31,North America
2025-08-03,New York,0.78,2025,8,3,215,31,North America
2025-08-10,Los Angeles,1.0,2025,8,3,222,32,North America
2025-08-10,New York,0.98,2025,8,3,222,32,North America
2025-08-17,Los Angeles,0.87,2025,8,3,229,33,North America
2025-08-17,New York,0.87,2025,8,3,229,33,North America
2025-08-24,Los Angeles,0.65,2025,8,3,236,34,North America
2025-08-24,New York,0.66,2025,8,3,236,34,North America
2025-08-31,Los Angeles,0.72,2025,8,3,243,35,North America
2025-08-31,New York,0.71,2025,8,3,243,35,North America
2025-09-07,Los Angeles,0.62,2025,9,3,250,36,North America
2025-09-07,New York,0.62,2025,9,3,250,36,North America
2025-09-14,Los Angeles,0.55,2025,9,3,257,37,North America
2025-09-14,New York,0.59,2025,9,3,257,37,North America
2025-09-21,Los Angeles,0.62,2025,9,3,264,38,North America
2025-09-21,New York,0.63,2025,9,3,264,38,North America
2025-09-28,Los Angeles,0.6,2025,9,3,271,39,North America
2025-09-28,New York,0.66,2025,9,3,271,39,North America
2025-10-05,Los Angeles,0.53,2025,10,4,278,40,North America
2025-10-05,New York,0.55,2025,10,4,278,40,North America
2025-10-12,Los Angeles,0.54,2025,10,4,285,41,North America
2025-10-12,New York,0.58,2025,10,4,285,41,North America
2025-10-19,Los Angeles,0.5,2025,10,4,292,42,North America
2025-10-19,New York,0.55,2025,10,4,292,42,North America
2025-10-26,Los Angeles,0.47,2025,10,4,299,43,North America
2025-10-26,New York,0.5,2025,10,4,299,43,North America
2025-11-02,Los Angeles,0.48,2025,11,4,306,44,North America
2025-11-02,New York,0.65,2025,11,4,306,44,North America
2025-11-09,Los Angeles,0.51,2025,11,4,313,45,North America
2025-11-09,New York,0.59,2025,11,4,313,45,North America
2025-11-16,Los Angeles,0.57,2025,11,4,320,46,North America
2025-11-16,New York,0.64,2025,11,4,320,46,North America
2025-11-23,Los Angeles,0.71,2025,11,4,327,47,North America
2025-11-23,New York,0.81,2025,11,4,327,47,North America
2025-11-30,Los Angeles,0.94,2025,11,4,334,48,North America
2025-11-30,New York,1.0,2025,11,4,334,48,North America
2025-12-07,Los Angeles,0.66,2025,12,4,341,49,North America
2025-12-07,New York,0.72,2025,12,4,341,49,North America
2025-12-14,Los Angeles,0.3,2025,12,4,348,50,North America
2025-12-14,New York,0.37,2025,12,4,348,50,North America
2025-12-21,Los Angeles,0.33,2025,12,4,355,51,North America
2025-12-21,New York,0.41,2025,12,4,355,51,North America
